web-scraper-order,web-scraper-start-url,links,links-href,title,mileage,location,registeryear,fueltype,registeredcity,color,enginecapacity,assembly,bodytype,automatic,pages,pages-href,price
"1648913145-275","https://www.pakwheels.com/used-cars/search/-/","Toyota Prado 120 Series 2003 TX 2.7 for Sale","https://www.pakwheels.com/used-cars/toyota-prado-2003-for-sale-in-lahore-6052669","Toyota Prado TX 2.7 2003","125,000 km","Main Boulevard DHA Lahore","null","Petrol","Lahore","Silver","2700 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 58 lacs"
"1648913680-385","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale","https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-6065995","Honda Civic Oriel 1.8 i-VTEC CVT 2021","4,500 km","null","2021","Petrol","Islamabad","White","1800 cc","null","null","Automatic","","","PKR 47.7 lacs"
"1648913595-367","https://www.pakwheels.com/used-cars/search/-/","Suzuki Liana  2007 LXi for Sale","https://www.pakwheels.com/used-cars/suzuki-liana-2007-for-sale-in-lahore-6065981","Suzuki Liana LXi 2007","147,000 km","null","null","Petrol","Karachi","White","1300 cc","null","null","null","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 8.35 lacs"
"1648913675-384","https://www.pakwheels.com/used-cars/search/-/","Toyota Vitz  2018 F 1.0 for Sale","https://www.pakwheels.com/used-cars/toyota-vitz-2018-for-sale-in-faisalabad-6065993","Toyota Vitz F 1.0 2018","38,000 km","Hockey Stadium Near Gourmet Bakery","null","Petrol","Lahore","White","1000 cc","null","null","Automatic","","","PKR 27.5 lacs"
"1648913614-371","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2004 SE Saloon Automatic for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2004-for-sale-in-bahawalpur-6065984","Toyota Corolla SE Saloon Automatic 2004","186,000 km","Husaini chowk Ranger market hasil pur road","null","Petrol","Karachi","White","1600 cc","null","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 12 lacs"
"1648913552-359","https://www.pakwheels.com/used-cars/search/-/","Nissan Juke  2010 15RS for Sale","https://www.pakwheels.com/used-cars/nissan-juke-2010-for-sale-in-lahore-6065858","Nissan Juke 15RS 2010","115,000 km","null","null","Petrol","Karachi","White","1500 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 21.65 lacs"
"1648913539-356","https://www.pakwheels.com/used-cars/search/-/","Toyota Hiace  2012 GL for Sale","https://www.pakwheels.com/used-cars/toyota-hiace-2012-for-sale-in-lahore-6062455","Toyota Hiace GL 2012","150,000 km","null","null","Petrol","Punjab","Silver","2700 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 40 lacs"
"1648913417-330","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2008 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2008-for-sale-in-rahim-yar-khan-6065951","Suzuki Alto VXR 2008","140,000 km","null","null","Petrol","Sindh","Green","1000 cc","null","null","null","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 6.4 lacs"
"1648913230-293","https://www.pakwheels.com/used-cars/search/-/","KIA Sportage  2021 AWD for Sale","https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-sialkot-6065710","KIA Sportage AWD 2021","24,000 km","null","2021","Petrol","Islamabad","Black","2000 cc","null","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 61 lacs"
"1648913365-320","https://www.pakwheels.com/used-cars/search/-/","Toyota Vitz  2018 F 1.0 for Sale","https://www.pakwheels.com/used-cars/toyota-vitz-2018-for-sale-in-lahore-6065761","Toyota Vitz F 1.0 2018","29,000 km","50-E, Moulana Shaukat Ali Road, Johar town Lahore","null","Petrol","Un-Registered","Black","1000 cc","Imported","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 28.95 lacs"
"1648913633-375","https://www.pakwheels.com/used-cars/search/-/","Mitsubishi Ek Wagon  2011  for Sale
                    7.1/10","https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2011-for-sale-in-lahore-6063094","Mitsubishi Ek Wagon 2011","62,405 km","null","null","Petrol","Lahore","Silver","660 cc","Imported","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 14.75 lacs"
"1648913235-294","https://www.pakwheels.com/used-cars/search/-/","MG HS  2020 1.5 Turbo for Sale","https://www.pakwheels.com/used-cars/mg-hs-2020-for-sale-in-lahore-6065738","MG HS 1.5 Turbo 2020","5,000 km","22/23 Johar Town, Moulana Shaukat Ali Road","null","Petrol","Lahore","White","1500 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 61.5 lacs"
"1648913802-411","https://www.pakwheels.com/used-cars/search/-/","Toyota Surf  2004 SSR-X 3.4 for Sale","https://www.pakwheels.com/used-cars/toyota-surf-2004-for-sale-in-islamabad-6065996","Toyota Surf SSR-X 3.4 2004","125,000 km","null","null","Petrol","Islamabad","Silver","3400 cc","Imported","null","Automatic","","","PKR 55 lacs"
"1648913307-308","https://www.pakwheels.com/used-cars/search/-/","Suzuki Bolan  2021  for Sale","https://www.pakwheels.com/used-cars/suzuki-bolan-2021-for-sale-in-mian-wali-6065941","Suzuki Bolan 2021","14,000 km","null","2021","Petrol","Islamabad","White","1000 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 12.7 lacs"
"1648913704-390","https://www.pakwheels.com/used-cars/search/-/","Toyota Fortuner  2018 2.7 VVTi for Sale","https://www.pakwheels.com/used-cars/toyota-fortuner-2018-for-sale-in-lahore-6009517","Toyota Fortuner 2.7 VVTi 2018","42,000 km","null","null","Petrol","Lahore","Black","2700 cc","null","null","Automatic","","","PKR 83.65 lacs"
"1648913293-305","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2021 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-multan-6065939","Suzuki Alto VXR 2021","5,300 km","null","2021","Petrol","Multan","White","660 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 18.25 lacs"
"1648913656-380","https://www.pakwheels.com/used-cars/search/-/","Suzuki Wagon R  2018 Hybrid FZ for Sale","https://www.pakwheels.com/used-cars/suzuki-wagon-r-2018-for-sale-in-faisalabad-6065990","Suzuki Wagon R Hybrid FZ 2018","48,000 km","Hockey Stadium Near Gourmet Bakery","null","null","Islamabad","Silver","660 cc","Imported","null","Automatic","","","PKR 26.5 lacs"
"1648913441-335","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2012 GLi Automatic 1.6 VVTi fo...","https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-peshawar-6065959","Toyota Corolla GLi Automatic 1.6 VVTi 2012","93,000 km","null","null","Petrol","Punjab","Olive Mica","1600 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 24 lacs"
"1648913283-303","https://www.pakwheels.com/used-cars/search/-/","Toyota Yaris  2021 ATIV CVT 1.3 for Sale","https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-gujranwala-6065935","Toyota Yaris ATIV CVT 1.3 2021","9,000 km","null","2021","Petrol","Gujranwala","Black","1300 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 30 lacs"
"1648913478-343","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2022 VXL AGS for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-bahawalpur-6065967","Suzuki Alto VXL AGS 2022","45 km","null","null","Petrol","Un-Registered","Silver","660 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 22 lacs"
"1648913638-376","https://www.pakwheels.com/used-cars/search/-/","Honda City  2021 1.3 i-VTEC for Sale","https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-multan-5983398","Honda City 1.3 i-VTEC 2021","15,770 km","Multan","2021","Petrol","Un-Registered","White","1300 cc","null","null","null","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 27 lacs"
"1648913182-283","https://www.pakwheels.com/used-cars/search/-/","Toyota Passo  2018 X for Sale","https://www.pakwheels.com/used-cars/toyota-passo-2018-for-sale-in-lahore-5905944","Toyota Passo X 2018","21,376 km","189-B PakArab Society Ferozpur Road15-A Moulana Shoukat Ali Road","null","Petrol","Un-Registered","Silver","1000 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 26.75 lacs"
"1648913562-361","https://www.pakwheels.com/used-cars/search/-/","Toyota Hilux  2021 Revo V Automatic 2.8 for Sale","https://www.pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-lahore-6065859","Toyota Hilux Revo V Automatic 2.8 2021","15,000 km","3-B Main Jail Road Lahore","2021","null","Punjab","Black","2800 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 93.5 lacs"
"1648913543-357","https://www.pakwheels.com/used-cars/search/-/","Toyota C-HR  2017  for Sale","https://www.pakwheels.com/used-cars/toyota-c-hr-2017-for-sale-in-lahore-5997150","Toyota C-HR 2017","5,000 km","null","null","null","Un-Registered","White","1800 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 66.95 lacs"
"1648913728-395","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2014 EURO II for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2014-for-sale-in-karachi-6066007","Suzuki Cultus EURO II 2014","58,750 km","null","null","Petrol","Karachi","Grey","1000 cc","null","null","null","","","PKR 11.5 lacs"
"1648913464-340","https://www.pakwheels.com/used-cars/search/-/","Honda Civic Rebirth 2014 VTi Oriel Prosmatec 1...","https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-rahim-yar-khan-6065964","Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2014","86,000 km","null","null","Petrol","Karachi","Black","1800 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 24.65 lacs"
"1648913154-277","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2017 Altis Grande CVT-i 1.8 fo...","https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-6065915","Toyota Corolla Altis Grande CVT-i 1.8 2017","55,000 km","null","null","Petrol","Karachi","White","1800 cc","null","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 34 lacs"
"1648913652-379","https://www.pakwheels.com/used-cars/search/-/","Toyota Vitz  2008 B Intelligent Package 1.0 fo...","https://www.pakwheels.com/used-cars/toyota-vitz-2008-for-sale-in-islamabad-6065758","Toyota Vitz B Intelligent Package 1.0 2008","102,000 km","null","null","Petrol","Islamabad","White","1000 cc","Imported","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 19.15 lacs"
"1648913330-313","https://www.pakwheels.com/used-cars/search/-/","Suzuki Wagon R  2017 VXL for Sale","https://www.pakwheels.com/used-cars/suzuki-wagon-r-2017-for-sale-in-jhelum-5506799","Suzuki Wagon R VXL 2017","69,000 km","null","null","Petrol","Rawalpindi","Grey","1000 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 16.5 lacs"
"1648913149-276","https://www.pakwheels.com/used-cars/search/-/","Nissan Dayz  2019  for Sale","https://www.pakwheels.com/used-cars/nissan-dayz-2019-for-sale-in-lahore-6065914","Nissan Dayz 2019","60,000 km","null","null","Petrol","Lahore","Maroon","660 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 18.2 lacs"
"1648913302-307","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2018 Altis Grande CVT-i 1.8 fo...","https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-hyderabad-6008354","Toyota Corolla Altis Grande CVT-i 1.8 2018","64,000 km","null","null","Petrol","Karachi","White","1800 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 35.5 lacs"
"1648913105-267","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2017 Altis Automatic 1.6 for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-6065906","Toyota Corolla Altis Automatic 1.6 2017","61,000 km","null","null","Petrol","Lahore","White","1600 cc","null","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 33.5 lacs"
"1648913388-325","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2022 Oriel for Sale","https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-multan-6040707","Honda Civic Oriel 2022","5 km","null","null","Petrol","Un-Registered","Grey","1500 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 60.5 lacs"
"1648913255-297","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2019 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-bahawalpur-6051584","Suzuki Alto VXR 2019","45,000 km","Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur","null","Petrol","Lahore","White","660 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 16.25 lacs"
"1648913717-393","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2004 VTi Oriel 1.6 for Sale","https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-islamabad-6066004","Honda Civic VTi Oriel 1.6 2004","130,000 km","null","null","Petrol","Sindh","White","1600 cc","null","null","Automatic","","","PKR 13.5 lacs"
"1648913525-353","https://www.pakwheels.com/used-cars/search/-/","KIA Picanto  2021 1.0 AT for Sale","https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-lahore-6044885","KIA Picanto 1.0 AT 2021","4,700 km","null","2021","Petrol","Punjab","White","1000 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 25.25 lacs"
"1648913164-279","https://www.pakwheels.com/used-cars/search/-/","Toyota Starlet  1981 1.0 for Sale","https://www.pakwheels.com/used-cars/toyota-starlet-1981-for-sale-in-islamabad-6065916","Toyota Starlet 1.0 1981","58,000 km","null","null","Petrol","Karachi","Turquoise","1000 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 2.5 lacs"
"1648913600-368","https://www.pakwheels.com/used-cars/search/-/","Honda Civic Rebirth 2014 VTi Prosmatec 1.8 i-V...","https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-karachi-6065980","Honda Civic VTi Prosmatec 1.8 i-VTEC 2014","97,000 km","null","null","Petrol","Karachi","White","1800 cc","null","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 26 lacs"
"1648913073-260","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2013 EURO II for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2013-for-sale-in-karachi-6012007","Suzuki Cultus EURO II 2013","48,000 km","null","null","Petrol","Sindh","Smokegreen","1000 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 11 lacs"
"1648913140-274","https://www.pakwheels.com/used-cars/search/-/","Daihatsu Cuore  2007 CX for Sale","https://www.pakwheels.com/used-cars/daihatsu-cuore-2007-for-sale-in-islamabad-6065912","Daihatsu Cuore CX 2007","89,000 km","null","null","Petrol","Islamabad","Silver","800 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 8.95 lacs"
"1648913288-304","https://www.pakwheels.com/used-cars/search/-/","Suzuki Every  2009 PA for Sale","https://www.pakwheels.com/used-cars/suzuki-every-2009-for-sale-in-kohat-6065936","Suzuki Every PA 2009","85,000 km","null","null","Petrol","Islamabad","White","660 cc","Imported","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 13.65 lacs"
"1648913694-388","https://www.pakwheels.com/used-cars/search/-/","Honda Vezel  2016 Hybrid Z Honda Sensing  for ...","https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-islamabad-6066000","Honda Vezel Hybrid Z Honda Sensing  2016","68,000 km","null","null","Petrol","Islamabad","White","1500 cc","Imported","null","Automatic","","","PKR 42.5 lacs"
"1648913529-354","https://www.pakwheels.com/used-cars/search/-/","Honda Civic Reborn 2007 VTi Oriel Prosmatec 1....","https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-lahore-6037687","Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2007","10,000 km","null","null","Petrol","Karachi","Grey","1800 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 15.7 lacs"
"1648913619-372","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2009 GLi 1.3 VVTi for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-rawalpindi-6065987","Toyota Corolla GLi 1.3 VVTi 2009","144,000 km","null","null","Petrol","Lahore","Green","1300 cc","null","null","null","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 17.8 lacs"
"1648913130-272","https://www.pakwheels.com/used-cars/search/-/","Daihatsu Terios  2007  for Sale","https://www.pakwheels.com/used-cars/daihatsu-terios-2007-for-sale-in-lahore-6065911","Daihatsu Terios 2007","150,000 km","null","null","Petrol","Lahore","Blue","1500 cc","Imported","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 20.5 lacs"
"1648913206-288","https://www.pakwheels.com/used-cars/search/-/","Toyota Premio  2017 X EX Package 1.8 for Sale","https://www.pakwheels.com/used-cars/toyota-premio-2017-for-sale-in-peshawar-6065693","Toyota Premio X EX Package 1.8 2017","35,000 km","Block-A Usaid plaza blue area Islamabad","null","Petrol","Un-Registered","Burgundy","1800 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 78.5 lacs"
"1648913096-265","https://www.pakwheels.com/used-cars/search/-/","Honda City  2013 1.3 i-VTEC for Sale","https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-mardan-6065903","Honda City 1.3 i-VTEC 2013","200,000 km","null","null","Petrol","Punjab","Silver","1300 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 18 lacs"
"1648913483-344","https://www.pakwheels.com/used-cars/search/-/","Nissan Dayz Highway Star  2015  for Sale","https://www.pakwheels.com/used-cars/nissan-dayz-highway-star-2015-for-sale-in-peshawar-6065969","Nissan Dayz Highway Star 2015","80,000 km","null","null","Petrol","Rawalpindi","Grey","1000 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 16.2 lacs"
"1648913407-329","https://www.pakwheels.com/used-cars/search/-/","Toyota Hilux  2020 Revo V Automatic 2.8 for Sale","https://www.pakwheels.com/used-cars/toyota-hilux-2020-for-sale-in-lahore-6049580","Toyota Hilux Revo V Automatic 2.8 2020","21,000 km","Jail road Lahore","null","null","Lahore","Black","2800 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 86 lacs"
"1648913370-321","https://www.pakwheels.com/used-cars/search/-/","KIA Picanto  2021 1.0 AT for Sale","https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-lahore-5960313","KIA Picanto 1.0 AT 2021","2,501 km","null","2021","Petrol","Punjab","Blue","1000 cc","Imported","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 27 lacs"
"1648913159-278","https://www.pakwheels.com/used-cars/search/-/","Honda Freed  2012 + Hybrid G Honda Sensing for...","https://www.pakwheels.com/used-cars/honda-freed-2012-for-sale-in-islamabad-6019848","Honda Freed + Hybrid G Honda Sensing 2012","150,000 km","null","null","null","Islamabad","Turquoise","1500 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 25.5 lacs"
