title,make,model,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR,VXR,VXL
Toyota Corolla SE Saloon Automatic 2004,Toyota,Corolla,2004,186000,Husaini chowk Ranger market hasil pur road,Petrol,Karachi,White,1600,local,automatic,120000,0,0
Toyota Corolla Altis Grande CVT-i 1.8 2016,Toyota,Corolla,2016,159000,unknownLocation,Petrol,Punjab,White,1800,local,automatic,310000,0,0
Toyota Raize 2021,Toyota,Raize,2021,1700,189-B PakArab Society Ferozpur Road15-A Moulana Shoukat Ali Road,Petrol,Un-Registered,Red,1000,Imported,automatic,439500,0,0
Honda Civic VTi Oriel 1.6 2004,Honda,Civic,2004,285000,unknownLocation,Petrol,Sialkot,Grey,1600,local,unknown,137500,0,0
Toyota Vitz F 1.0 2018,Toyota,Vitz,2018,38000,Hockey Stadium Near Gourmet Bakery,Petrol,Lahore,White,1000,local,automatic,275000,0,0
Honda Vezel Hybrid Z Honda Sensing  2015,Honda,Vezel,2015,80000,"New M.A jinnah road, karachi, sindh, pakistan",Petrol,Karachi,White,1500,Imported,automatic,395000,0,0
Suzuki Bolan 2021,Suzuki,Bolan,2021,14000,unknownLocation,Petrol,Islamabad,White,1000,local,unknown,127000,0,0
Honda Civic VTi Oriel Automatic 1.6 2000,Honda,Civic,2000,257000,unknownLocation,Petrol,Islamabad,Grey,1600,local,automatic,114500,0,0
Suzuki Cultus EURO II 2014,Suzuki,Cultus,2014,58750,unknownLocation,Petrol,Karachi,Grey,1000,local,unknown,115000,0,0
Toyota Corolla GLi 1.3 2002,Toyota,Corolla,2002,110000,unknownLocation,CompressedNaturalGas,Islamabad,Silver,1300,local,unknown,149000,0,0
Honda Vezel Hybrid Z Honda Sensing  2016,Honda,Vezel,2016,68000,unknownLocation,Petrol,Islamabad,White,1500,Imported,automatic,425000,0,0
Toyota Corolla GLi Automatic 1.6 VVTi 2012,Toyota,Corolla,2012,93000,unknownLocation,Petrol,Punjab,Olive Mica,1600,local,automatic,240000,0,0
Toyota Corolla XLi 2008,Toyota,Corolla,2008,110000,unknownLocation,Petrol,Punjab,White,1300,local,unknown,198000,0,0
Honda City 1.3 i-VTEC 2021,Honda,City,2021,15770,Multan,Petrol,Un-Registered,White,1300,local,unknown,270000,0,0
Suzuki Mehran VXR (CNG) 2010,Suzuki,Mehran,2010,120000,unknownLocation,Petrol,Islamabad,Silver,800,local,unknown,67000,1,0
Nissan Note X 2016,Nissan,Note,2016,79000,37-A Main Boulevard Shok Chowk Johar Town Lahore.,CompressedNaturalGas,Punjab,Black,1200,Imported,automatic,315000,0,0
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2007,Honda,Civic,2007,10000,unknownLocation,Petrol,Karachi,Grey,1800,local,automatic,157000,0,0
Suzuki Cultus VXL 2020,Suzuki,Cultus,2022,31000,Jail Road,Petrol,Punjab,White,1000,local,unknown,235000,0,1
Toyota Land Cruiser ZX 2017,Toyota,Land,2017,39000,23-A Moulana Shoukat Ali Road Johar Town Lahore.,Petrol,Un-Registered,Pearl Black,4600,Imported,automatic,35100000,0,0
Honda Civic Oriel 2022,Honda,Civic,2022,10,unknownLocation,Petrol,Un-Registered,White,1500,local,automatic,605000,0,0
Toyota Hiace GL 2012,Toyota,Hiace,2012,150000,unknownLocation,Petrol,Punjab,Silver,2700,Imported,automatic,400000,0,0
KIA Picanto 1.0 MT 2021,KIA,Picanto,2021,17500,unknownLocation,Petrol,Punjab,Silver,1000,local,unknown,218500,0,0
Toyota Hilux Revo V Automatic 2.8 2020,Toyota,Hilux,2020,21000,"34-A, Jail Road Lahore",CompressedNaturalGas,Lahore,Black,2800,local,automatic,825000,0,0
Honda City 1.3 i-VTEC Prosmatec 2019,Honda,City,2019,47000,G/11 Markaz Near Punjab Bank Islamabad,Petrol,Islamabad,White,1300,local,automatic,279500,0,0
Toyota Aqua 2019,Toyota,Aqua,2019,46000,unknownLocation,CompressedNaturalGas,Un-Registered,Blue,1500,Imported,automatic,378000,0,0
Toyota Corolla Altis Automatic 1.6 2021,Toyota,Corolla,2021,5000,unknownLocation,Petrol,Un-Registered,White,1600,local,automatic,387500,0,0
Toyota Hilux Revo V Automatic 2.8 2021,Toyota,Hilux,2021,15000,3-B Main Jail Road Lahore,CompressedNaturalGas,Punjab,Black,2800,local,automatic,935000,0,0
Suzuki Alto VXR (CNG) 2009,Suzuki,Alto,2009,100000,unknownLocation,Petrol,Karachi,Olive Green,1000,local,unknown,73000,1,0
Suzuki Cultus VXR 2005,Suzuki,Cultus,2005,496000,unknownLocation,Petrol,Faisalabad,Silver,1000,local,unknown,55000,1,0
Honda City 2010,Honda,City,2010,100000,unknownLocation,Petrol,Lahore,Grey,1300,local,unknown,160000,0,0
Suzuki Khyber Limited Edition 1989,Suzuki,Khyber,1989,150000,unknownLocation,Petrol,Lahore,Grey,1000,Imported,unknown,35000,0,0
Suzuki Liana LXi 2008,Suzuki,Liana,2008,110355,unknownLocation,Petrol,Islamabad,White,1300,local,unknown,113000,0,0
Suzuki Wagon R VXL 2022,Suzuki,Wagon,2022,115,unknownLocation,Petrol,Punjab,White,1000,local,unknown,240000,0,1
Toyota Hiace 2009,Toyota,Hiace,2009,300000,unknownLocation,Petrol,Lahore,Silver,2700,Imported,automatic,320000,0,0
Honda Freed + Hybrid G Honda Sensing 2012,Honda,Freed,2012,150000,unknownLocation,CompressedNaturalGas,Islamabad,Turquoise,1500,Imported,automatic,255000,0,0
Nissan Juke 15RS 2010,Nissan,Juke,2010,115000,unknownLocation,Petrol,Karachi,White,1500,Imported,automatic,216500,0,0
Honda Civic Oriel 2022,Honda,Civic,2022,5,unknownLocation,Petrol,Un-Registered,Silver,1500,local,automatic,605000,0,0
Toyota Corolla XLi VVTi Limited Edition 2011,Toyota,Corolla,2011,220000,unknownLocation,Petrol,Islamabad,White,1300,local,unknown,195000,0,0
KIA Picanto 1.0 AT 2021,KIA,Picanto,2021,2501,unknownLocation,Petrol,Punjab,Blue,1000,Imported,automatic,270000,0,0
KIA Sportage AWD 2021,KIA,Sportage,2021,24000,unknownLocation,Petrol,Islamabad,Black,2000,local,automatic,610000,0,0
Honda Civic 1.8 i-VTEC CVT 2018,Honda,Civic,2018,100000,unknownLocation,Petrol,Karachi,White,1800,Imported,automatic,360000,0,0
Toyota Corolla GLi 1.3 VVTi 2009,Toyota,Corolla,2009,144000,unknownLocation,Petrol,Lahore,Green,1300,local,unknown,178000,0,0
Changan Alsvin 1.5L DCT Lumiere 2022,Changan,Alsvin,2022,5,unknownLocation,Petrol,Un-Registered,White,1500,local,automatic,308000,0,0
Daihatsu Cuore CX Ecomatic 2007,Daihatsu,Cuore,2007,112000,Husaini chowk Ranger market hasil pur road,Petrol,Lahore,White,800,local,automatic,75000,0,0
Toyota Corolla Altis Automatic 1.6 2020,Toyota,Corolla,2020,40000,"Goga Car Classic  Shop No. 5, 45- Fayyaz Plaza, Near PIA Building, Fazl-haq Road, Blue Area, Islamabad.03006088001",Petrol,Islamabad,White,1600,local,automatic,380000,0,0
Toyota Passo G 1.0 2006,Toyota,Passo,2006,98000,unknownLocation,Petrol,Karachi,Silver,1000,Imported,automatic,122500,0,0
Proton X70 Premium FWD 2021,Proton,X70,2021,17000,"12A Ronaq Trade Centre, Service Lane Shop No. 4&5",Petrol,Sindh,White,1500,Imported,automatic,659000,0,0
Toyota Hilux Revo V Automatic 3.0  2017,Toyota,Hilux,2017,60000,"34-A, Jail Road Lahore",CompressedNaturalGas,Islamabad,Black,3000,local,automatic,720000,0,0
Suzuki Cultus EURO II 2008,Suzuki,Cultus,2008,2586,unknownLocation,Petrol,Lahore,Maroon,1000,local,unknown,85000,0,0
Suzuki APV GLX 2007,Suzuki,APV,2007,172900,unknownLocation,Petrol,Lahore,Gold,1500,local,unknown,145000,0,0
Suzuki Bolan VX Euro II 2016,Suzuki,Bolan,2016,59500,unknownLocation,Petrol,Lahore,White,800,local,unknown,89000,0,0
Suzuki Mehran VXR (CNG) 2010,Suzuki,Mehran,2010,20000,unknownLocation,Petrol,Lahore,Grey,800,local,unknown,65000,1,0
Honda Vezel Hybrid Z Honda Sensing  2016,Honda,Vezel,2016,39780,unknownLocation,CompressedNaturalGas,Un-Registered,Silver,1500,Imported,automatic,507500,0,0
Honda Civic Oriel 1.8 i-VTEC CVT 2018,Honda,Civic,2018,52000,unknownLocation,Petrol,Punjab,White,1800,local,automatic,385000,0,0
Suzuki Bolan VX Euro II 2021,Suzuki,Bolan,2021,7000,unknownLocation,Petrol,Islamabad,White,800,local,unknown,128000,0,0
Honda Civic RS 2022,Honda,Civic,2022,5,unknownLocation,Petrol,Un-Registered,Grey,1500,local,automatic,735000,0,0
Honda Civic VTi 1.8 i-VTEC 2012,Honda,Civic,2012,117000,unknownLocation,Petrol,Islamabad,Silver,1800,local,unknown,230000,0,0
Suzuki Wagon R VXL 2016,Suzuki,Wagon,2016,890000,unknownLocation,Petrol,Lahore,Silver,1000,local,unknown,155000,0,1
Honda BR-V i-VTEC S 2022,Honda,BR-V,2022,1,unknownLocation,Petrol,Islamabad,White,1500,local,automatic,430000,0,0
Suzuki Bolan 2011,Suzuki,Bolan,2011,60000,unknownLocation,Petrol,Rawalpindi,White,800,local,unknown,98500,0,0
Suzuki Alto VXL AGS 2022,Suzuki,Alto,2022,45,unknownLocation,Petrol,Un-Registered,Silver,660,local,automatic,220000,0,1
Toyota Corolla XLi VVTi 2017,Toyota,Corolla,2017,54000,unknownLocation,Petrol,Islamabad,White,1300,local,unknown,259000,0,0
FAW X-PV Standard 2017,FAW,X-PV,2017,30000,unknownLocation,Petrol,Punjab,Silver,1000,local,unknown,85000,0,0
Toyota Surf SSR-G 3.4 2003,Toyota,Surf,2003,162000,6th road near Nawaz Sharif park,Petrol,Lahore,White,3400,Imported,automatic,695000,0,0
Honda Civic Oriel Prosmatec UG 2015,Honda,Civic,2015,142000,unknownLocation,Petrol,Islamabad,Black,1800,local,automatic,280000,0,0
Toyota Prado RZ 3.0D (3-Door) 1996,Toyota,Prado,1996,98000,unknownLocation,CompressedNaturalGas,Multan,Red,3000,Imported,automatic,295000,0,0
Toyota Passo X G Package 2013,Toyota,Passo,2013,100000,unknownLocation,Petrol,Islamabad,Silver,1000,Imported,automatic,205000,0,0
Suzuki Liana LXi 2007,Suzuki,Liana,2007,147000,unknownLocation,Petrol,Karachi,White,1300,local,unknown,83500,0,0
Changan Alsvin 1.5L DCT Lumiere 2022,Changan,Alsvin,2022,10,jail road Lahore,Petrol,Un-Registered,Grey,1500,local,automatic,1174800,0,0
Toyota Corolla XLi VVTi 2010,Toyota,Corolla,2010,130000,unknownLocation,Petrol,Sindh,Black,1300,local,unknown,154000,0,0
Honda CR-Z Sports Hybrid Alpha 2021,Honda,CR-Z,2021,67000,Main Boulevard DHA Lahore,Petrol,Lahore,Yellow,1500,Imported,automatic,242500,0,0
Honda City Aspire 1.5 i-VTEC 2013,Honda,City,2013,82000,unknownLocation,Petrol,Karachi,Black,1500,local,unknown,200000,0,0
Suzuki Hustler G 2019,Suzuki,Hustler,2019,38000,37-A Main Boulevard Shok Chowk Johar Town Lahore.,Petrol,Un-Registered,Green,660,Imported,automatic,245000,0,0
Toyota Corolla GLi 1.3 VVTi 2010,Toyota,Corolla,2010,177000,unknownLocation,Petrol,Sindh,Grey,1300,local,unknown,159500,0,0
Toyota Prado TX 2.7 2011,Toyota,Prado,2011,90000,6th road near Nawaz Sharif park,Petrol,Lahore,Black,2700,Imported,automatic,12600000,0,0
Toyota Aqua G 2013,Toyota,Aqua,2013,110846,unknownLocation,CompressedNaturalGas,Karachi,White,1500,Imported,automatic,255000,0,0
Toyota Prado TZ 3.4 2004,Toyota,Prado,2004,130000,unknownLocation,Petrol,Lahore,White,3400,Imported,automatic,800000,0,0
Toyota Belta X S Package 1.0 2012,Toyota,Belta,2012,170000,unknownLocation,Petrol,Karachi,White,1000,Imported,automatic,155000,0,0
Toyota Hilux Revo V Automatic 2.8 2022,Toyota,Hilux,2022,10,unknownLocation,CompressedNaturalGas,Un-Registered,Black,2800,local,automatic,920000,0,0
MG HS 1.5 Turbo 2020,MG,HS,2020,5000,"22/23 Johar Town, Moulana Shaukat Ali Road",Petrol,Lahore,White,1500,Imported,automatic,615000,0,0
Honda Civic VTi Prosmatec 1.8 i-VTEC 2014,Honda,Civic,2014,97000,unknownLocation,Petrol,Karachi,White,1800,local,automatic,260000,0,0
Toyota Hilux D-4D Automatic 2006,Toyota,Hilux,2006,118000,827-C Faisal Town Molana Shaukat Ali Road,CompressedNaturalGas,Karachi,Black,3000,Imported,automatic,348000,0,0
Suzuki Wagon R VXR 2015,Suzuki,Wagon,2015,129000,unknownLocation,Petrol,Islamabad,White,1000,local,unknown,152500,1,0
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2014,Honda,Civic,2014,86000,unknownLocation,Petrol,Karachi,Black,1800,local,automatic,246500,0,0
Honda Civic Oriel 2022,Honda,Civic,2022,5,unknownLocation,Petrol,Un-Registered,Grey,1500,local,automatic,605000,0,0
Toyota Surf SSR-X 3.4 2004,Toyota,Surf,2004,125000,unknownLocation,Petrol,Islamabad,Silver,3400,Imported,automatic,550000,0,0
Honda Civic Oriel Prosmatec UG 2015,Honda,Civic,2015,160000,unknownLocation,Petrol,Islamabad,White,1800,local,automatic,297500,0,0
Toyota C-HR 2017,Toyota,C-HR,2017,5000,unknownLocation,CompressedNaturalGas,Un-Registered,White,1800,Imported,automatic,669500,0,0
Suzuki Swift DLX 1.3 2019,Suzuki,Swift,2019,31000,unknownLocation,Petrol,Gujar Khan,White,1300,local,unknown,198000,0,0
Honda Civic VTi 1.8 i-VTEC 2007,Honda,Civic,2007,195000,unknownLocation,Petrol,Lahore,Green,1800,local,unknown,145000,0,0
Changan Alsvin 1.5L DCT Lumiere 2022,Changan,Alsvin,2022,5,unknownLocation,Petrol,Un-Registered,Silver,1500,local,automatic,300000,0,0
Toyota Aqua G 2013,Toyota,Aqua,2013,110646,unknownLocation,CompressedNaturalGas,Karachi,White,1500,Imported,automatic,255000,0,0
Suzuki Cultus VXRi 2010,Suzuki,Cultus,2010,150000,unknownLocation,Petrol,Lahore,Silver,1000,local,unknown,88000,1,0
Mercedes Benz E Class E200 2006,Mercedes,Benz,2006,95000,827-C Faisal Town Molana Shaukat Ali Road,Petrol,Lahore,Black,1800,Imported,automatic,360000,0,0
Suzuki Wagon R 2014,Suzuki,Wagon,2014,69000,unknownLocation,Petrol,Karachi,Burgundy,660,Imported,automatic,155000,0,0
Honda City Aspire 1.3 i-VTEC 2016,Honda,City,2016,90000,G/11 Markaz Near Punjab Bank Islamabad,Petrol,Islamabad,White,1300,local,unknown,229500,0,0
Toyota Corolla GLi 1.3 VVTi 2015,Toyota,Corolla,2015,26000,unknownLocation,Petrol,Islamabad,Grey,1300,local,unknown,295000,0,0
Toyota Prado TX 2.7 2003,Toyota,Prado,2003,125000,Main Boulevard DHA Lahore,Petrol,Lahore,Silver,2700,Imported,automatic,580000,0,0
Toyota Yaris Cross Hybrid Z 2020,Toyota,Yaris,2020,29000,"50-E, Moulana Shaukat Ali Road, Johar town Lahore",CompressedNaturalGas,Un-Registered,Silver,1500,Imported,automatic,367500,0,0
Honda Vezel 2014,Honda,Vezel,2014,76000,unknownLocation,Petrol,Islamabad,White,1500,Imported,automatic,370000,0,0
KIA Picanto 1.0 AT 2021,KIA,Picanto,2021,4700,unknownLocation,Petrol,Punjab,White,1000,local,automatic,252500,0,0
Toyota Vitz F 1.3 2005,Toyota,Vitz,2005,160000,unknownLocation,Petrol,Multan,Silver,1300,Imported,automatic,142500,0,0
Suzuki Cultus Limited Edition 2016,Suzuki,Cultus,2016,65000,unknownLocation,Petrol,Sindh,White,1000,local,unknown,128000,0,0
Toyota Hilux Revo V Automatic 2.8 2020,Toyota,Hilux,2020,21000,Jail road Lahore,CompressedNaturalGas,Lahore,Black,2800,local,automatic,860000,0,0
Toyota Hilux Revo V Automatic 2.8 2020,Toyota,Hilux,2020,18800,"Shara e Quaideen Road,Karachi",CompressedNaturalGas,Karachi,White,2800,local,automatic,1174800,0,0
Toyota Corolla Altis Grande CVT-i 1.8 2018,Toyota,Corolla,2018,64000,unknownLocation,Petrol,Karachi,White,1800,local,automatic,355000,0,0
Suzuki Wagon R VXL 2017,Suzuki,Wagon,2017,69000,unknownLocation,Petrol,Rawalpindi,Grey,1000,local,unknown,165000,0,1
Toyota Corolla GLi 1.3 VVTi 2010,Toyota,Corolla,2010,164000,unknownLocation,Petrol,Karachi,Gold,1300,local,unknown,149000,0,0
Toyota Corolla Altis Grande CVT-i 1.8 2014,Toyota,Corolla,2014,91000,unknownLocation,Petrol,Lahore,White,1800,Imported,automatic,279000,0,0
Hyundai Tucson FWD A/T GLS Sport 2022,Hyundai,Tucson,2022,1,unknownLocation,Petrol,Un-Registered,White,2000,local,automatic,655000,0,0
Honda Civic VTi 1.8 i-VTEC 2009,Honda,Civic,2009,153000,unknownLocation,Petrol,Lahore,Black,1800,local,unknown,165000,0,0
Suzuki Alto VXR 2022,Suzuki,Alto,2022,25,unknownLocation,Petrol,Un-Registered,Silver,660,local,unknown,180000,1,0
Honda City 1.5L CVT 2022,Honda,City,2022,1,unknownLocation,Petrol,Un-Registered,Grey,1500,local,automatic,352000,0,0
Toyota Corolla SE Limited 1994,Toyota,Corolla,1994,81595,unknownLocation,Petrol,Un-Registered,Navy,1600,Imported,unknown,132000,0,0
Mitsubishi Ek Wagon 2011,Mitsubishi,Ek,2011,62405,unknownLocation,Petrol,Lahore,Silver,660,Imported,automatic,147500,0,0
Daihatsu Mira L 2018,Daihatsu,Mira,2018,34000,37-A Main Boulevard Shok Chowk Johar Town Lahore.,Petrol,Un-Registered,Black,660,Imported,automatic,225000,0,0
Honda Civic Oriel 2022,Honda,Civic,2022,5,unknownLocation,Petrol,Un-Registered,Black,1500,local,automatic,605000,0,0
Toyota Corolla XLi VVTi 2017,Toyota,Corolla,2017,30000,unknownLocation,Petrol,Islamabad,White,1300,local,unknown,295000,0,0
Changan Karvaan Plus 2022,Changan,Karvaan,2022,5,unknownLocation,Petrol,Un-Registered,White,1000,local,unknown,212500,0,0
Suzuki Cultus VXR 2007,Suzuki,Cultus,2007,100000,unknownLocation,Petrol,Lahore,White,1000,local,unknown,67500,1,0
Honda City 1.3 i-VTEC Prosmatec 2019,Honda,City,2019,31424,"37 Commercial Zone, Liberty Market Lahore",Petrol,Karachi,White,1300,local,automatic,270000,0,0
Suzuki Cultus VXL 2006,Suzuki,Cultus,2006,170000,unknownLocation,Petrol,Lahore,Gold,1000,local,unknown,65000,0,1
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2011,Honda,Civic,2011,130000,unknownLocation,Petrol,Lahore,Grey,1800,local,automatic,228500,0,0
Daihatsu Mira Custom X 2010,Daihatsu,Mira,2010,65000,unknownLocation,Petrol,Lahore,Gold,660,Imported,automatic,119000,0,0
KIA Sportage AWD 2020,KIA,Sportage,2020,180,unknownLocation,Petrol,Un-Registered,Black,2000,local,automatic,590000,0,0
Suzuki Cultus Auto Gear Shift 2020,Suzuki,Cultus,2020,28000,unknownLocation,Petrol,Karachi,White,1000,local,automatic,249500,0,0
Suzuki Alto VXR 2008,Suzuki,Alto,2008,140000,unknownLocation,Petrol,Sindh,Green,1000,local,unknown,64000,1,0
Suzuki Alto VXR 2019,Suzuki,Alto,2019,45000,Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur,Petrol,Lahore,White,660,local,unknown,162500,1,0
Toyota Corolla SE Saloon Automatic 2004,Toyota,Corolla,2004,260000,unknownLocation,Petrol,Lahore,Metallic Green,1600,local,automatic,185000,0,0
Honda Civic VTi 1.8 i-VTEC 2012,Honda,Civic,2012,82000,unknownLocation,Petrol,Sindh,Black,1800,local,unknown,220000,0,0
Toyota Yaris ATIV CVT 1.3 2021,Toyota,Yaris,2021,9000,unknownLocation,Petrol,Gujranwala,Black,1300,local,automatic,300000,0,0
Toyota Premio X EX Package 1.8 2017,Toyota,Premio,2017,35000,Block-A Usaid plaza blue area Islamabad,Petrol,Un-Registered,Burgundy,1800,Imported,automatic,785000,0,0
Suzuki Cultus VXL 2021,Suzuki,Cultus,2021,11000,Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur,Petrol,Punjab,White,1000,local,unknown,262500,0,1
Toyota Vitz B Intelligent Package 1.0 2008,Toyota,Vitz,2008,102000,unknownLocation,Petrol,Islamabad,White,1000,Imported,automatic,191500,0,0
MG HS 1.5 Turbo 2021,MG,HS,2021,90,"148/4-A, Sehgal Plaza, Murree Road,Saddar, Rawalpindi Cantt",Petrol,Un-Registered,White,1500,local,automatic,1174800,0,0
Suzuki Bolan 2019,Suzuki,Bolan,2019,16300,unknownLocation,Petrol,Islamabad,White,800,local,unknown,117000,0,0
Toyota Corona 1994,Toyota,Corona,1994,1,unknownLocation,Petrol,Karachi,Grey,1600,local,unknown,140000,0,0
